user_id,product_id,refunded,purchase_date,country_code,media_source
2512288,tenwords_1w_7.99_7free,FALSE,2020-09-19,US,Facebook Ads
2322003,tenwords_1w_7.99_7free,FALSE,2020-08-31,FR,Facebook Ads
2322003,tenwords_1w_7.99_7free,FALSE,2020-08-24,FR,Facebook Ads
1071479,tenwords_lifetime_limited_49.99,FALSE,2020-09-19,Organic/Unknown,Organic/Unknown
2356195,tenwords_1w_9.99_offer,FALSE,2020-09-12,US,Facebook Ads
2009737,tenwords_1w_7.99_7free,FALSE,2020-07-09,US,ByteDance
2356226,tenwords_1w_9.99_offer,FALSE,2020-09-12,US,Facebook Ads
1693665,tenwords_1w_7.99_7free,TRUE,2020-08-30,US,Facebook Ads
1693665,tenwords_1w_7.99_7free,TRUE,2020-08-23,US,Facebook Ads
2173589,tenwords_1w_7.99_7free,FALSE,2020-08-01,US,Facebook Ads
2063879,tenwords_1w_9.99_offer,FALSE,2020-07-18,MX,Facebook Ads
2173589,tenwords_1w_7.99_7free,FALSE,2020-08-17,US,Facebook Ads
1693665,tenwords_1w_7.99_7free,TRUE,2020-09-06,US,Facebook Ads
2403709,tenwords_1w_9.99_offer,FALSE,2020-09-12,JP,Google Ads
2277836,tenwords_1w_9.99_offer,FALSE,2020-09-01,RS,Facebook Ads
2277836,tenwords_1w_9.99_offer,FALSE,2020-08-25,RS,Facebook Ads
2282400,tenwords_1w_7.99_7free,FALSE,2020-08-19,US,Facebook Ads
2097785,tenwords_1w_9.99_offer,FALSE,2020-08-25,US,Facebook Ads
2097785,tenwords_1w_9.99_offer,FALSE,2020-08-18,US,Facebook Ads
2097785,tenwords_1w_9.99_offer,FALSE,2020-08-11,US,Facebook Ads
2097785,tenwords_1w_9.99_offer,FALSE,2020-08-04,US,Facebook Ads
2097785,tenwords_1w_9.99_offer,FALSE,2020-07-28,US,Facebook Ads
2097785,tenwords_1w_9.99_offer,FALSE,2020-07-21,US,Facebook Ads
2400907,tenwords_1w_7.99_7free,FALSE,2020-09-26,US,ByteDance
2400907,tenwords_1w_7.99_7free,FALSE,2020-09-19,US,ByteDance
2302923,tenwords_1w_9.99_offer,FALSE,2020-09-05,BR,Facebook Ads
2069849,tenwords_1w_9.99_offer,FALSE,2020-08-16,RE,Facebook Ads
2069849,tenwords_1w_9.99_offer,FALSE,2020-09-20,RE,Facebook Ads
2400907,tenwords_1w_7.99_7free,FALSE,2020-09-12,US,ByteDance
2400907,tenwords_1w_7.99_7free,FALSE,2020-09-05,US,ByteDance
2097785,tenwords_1w_9.99_offer,FALSE,2020-09-01,US,Facebook Ads
1998043,tenwords_1w_9.99_offer,FALSE,2020-09-07,JP,Facebook Ads
1998043,tenwords_1w_9.99_offer,FALSE,2020-08-31,JP,Facebook Ads
2372101,tenwords_1w_9.99_offer,FALSE,2020-09-07,IN,Facebook Ads
1819559,tenwords_1w_9.99_offer,FALSE,2020-08-31,SA,Facebook Ads
2397137,tenwords_1w_9.99_offer,FALSE,2020-09-11,US,Facebook Ads
2397137,tenwords_1w_9.99_offer,FALSE,2020-09-04,US,Facebook Ads
2078592,tenwords_1w_7.99_7free,FALSE,2020-09-14,EE,Facebook Ads
2089026,tenwords_1w_9.99_offer,FALSE,2020-09-08,NO,Facebook Ads
2089026,tenwords_1w_9.99_offer,FALSE,2020-09-01,NO,Facebook Ads
2089026,tenwords_1w_9.99_offer,FALSE,2020-08-25,NO,Facebook Ads
2089026,tenwords_1w_9.99_offer,FALSE,2020-08-18,NO,Facebook Ads
2089026,tenwords_1w_9.99_offer,FALSE,2020-08-11,NO,Facebook Ads
2089026,tenwords_1w_9.99_offer,FALSE,2020-08-04,NO,Facebook Ads
2089026,tenwords_1w_9.99_offer,FALSE,2020-07-28,NO,Facebook Ads
2089026,tenwords_1w_9.99_offer,FALSE,2020-07-21,NO,Facebook Ads
2275978,tenwords_1w_9.99_offer,FALSE,2020-08-18,HU,Facebook Ads
2134843,tenwords_1w_9.99_offer,FALSE,2020-08-09,PL,Facebook Ads
2134843,tenwords_1w_9.99_offer,FALSE,2020-08-02,PL,Facebook Ads
2134843,tenwords_1w_9.99_offer,FALSE,2020-07-26,PL,Facebook Ads
2062709,tenwords_1w_7.99_7free,FALSE,2020-07-18,US,Facebook Ads
2346437,tenwords_1w_7.99_7free,FALSE,2020-08-27,NG,Facebook Ads
2525840,tenwords_1w_9.99_offer,FALSE,2020-09-20,RU,Facebook Ads
2091296,tenwords_1w_9.99_offer,FALSE,2020-07-28,US,Facebook Ads
2404057,tenwords_1w_9.99_offer,FALSE,2020-09-05,US,Facebook Ads
2534844,tenwords_1w_9.99_offer,FALSE,2020-09-20,FR,Facebook Ads
1693665,tenwords_1w_7.99_7free,TRUE,2020-09-13,US,Facebook Ads
